instance_id,empty_patch,malformed_patch,valid_unified_diff,test_file_edit,submission_compliant,patch_chars,patch_files,changed_files
django__django-10914,False,False,True,False,True,625,1,django/conf/global_settings.py
django__django-10924,False,False,True,False,True,771,1,django/db/models/fields/__init__.py
django__django-11001,False,False,True,False,True,1304,1,django/db/models/sql/compiler.py
django__django-11019,False,False,True,True,False,4680,3,django/forms/widgets.py;minimal_merge.py;test_merge.py
django__django-11039,False,False,True,False,True,658,1,django/core/management/commands/sqlmigrate.py
django__django-11049,False,False,True,False,True,566,1,django/db/models/fields/__init__.py
django__django-11099,True,False,False,False,False,0,0,
django__django-11133,False,False,True,False,True,20635,2,django/http/response.py;django/http/response.py.fixed_backup
django__django-11179,False,False,True,False,True,670,1,django/db/models/deletion.py
django__django-11283,False,False,True,False,True,5067,2,django/contrib/auth/migrations/0011_update_proxy_permissions.py;django/contrib/auth/migrations/0011_update_proxy_permissions.py.original
django__django-11422,False,False,True,False,True,6289,1,django/utils/autoreload.py
django__django-11564,False,False,True,False,True,4889,1,django/templatetags/static.py.original
django__django-11583,False,False,True,False,True,563,1,django/utils/autoreload.py
django__django-11620,False,False,True,False,True,777,1,django/urls/resolvers.py
django__django-11630,False,False,True,False,True,1195,1,django/core/checks/model_checks.py
django__django-11742,False,False,True,False,True,2488,1,django/db/models/fields/__init__.py
django__django-11797,False,False,True,False,True,53735,2,django/db/models/expressions.py;django/db/models/expressions.py.fixed
django__django-11815,False,False,True,False,True,664,1,django/db/migrations/serializer.py
django__django-11848,False,False,True,False,True,977,1,django/utils/http.py
django__django-11905,False,False,True,False,True,524,1,django/db/models/lookups.py
django__django-11910,False,False,True,False,True,854,1,django/db/migrations/autodetector.py
django__django-11964,False,False,True,False,True,181339,2,django/db/models/fields/__init__.py.backup2;django/db/models/fields/__init__.py.fixed
django__django-11999,False,False,True,False,True,724,1,django/db/models/fields/__init__.py
django__django-12113,False,False,True,False,True,1168,1,django/db/backends/sqlite3/creation.py
django__django-12125,False,False,True,False,True,745,1,django/db/migrations/serializer.py
django__django-12184,False,False,True,False,True,638,1,django/urls/resolvers.py
django__django-12284,False,False,True,False,True,653,1,django/db/models/base.py
django__django-12286,False,False,True,False,True,1304,1,django/core/checks/translation.py
django__django-12308,False,False,True,False,True,1089,1,django/contrib/admin/utils.py
django__django-12453,False,False,True,False,True,1025,1,django/db/backends/base/creation.py
django__django-12470,False,False,True,False,True,532,1,django/db/models/sql/compiler.py
django__django-12497,False,False,True,False,True,1431,1,django/db/models/fields/related.py
django__django-12589,False,False,True,False,True,734,1,django/db/models/sql/compiler.py
django__django-12700,False,False,True,False,True,598,1,django/views/debug.py
django__django-12708,False,False,True,False,True,1299,1,django/db/backends/base/schema.py
django__django-12747,False,False,True,False,True,1233,1,django/db/models/deletion.py
django__django-12856,False,False,True,False,True,583,1,django/db/models/base.py
django__django-12908,False,False,True,False,True,1174,1,django/db/models/sql/compiler.py
django__django-12915,False,False,True,False,True,1520,1,django/contrib/staticfiles/handlers.py
django__django-12983,False,False,True,True,False,8957,7,django/utils/text.py;final_test.py;final_verification.py;simple_test.py;test_slugify_fix.py;validate_final.py;validate_fix.py
django__django-13028,False,False,True,False,True,109743,1,django/db/models/sql/query.py.fixed
django__django-13033,False,False,True,False,True,765,1,django/db/models/sql/compiler.py
django__django-13158,False,False,True,False,True,818,1,django/db/models/sql/compiler.py
django__django-13220,False,False,True,False,True,2022,1,django/core/exceptions.py
