instance_id,status,changed,before_chars,after_chars,before_files,after_files,before_empty,after_empty,before_malformed,after_malformed,after_files_list,notes
django__django-10914,sanitized,False,625,625,1,1,False,False,False,False,django/conf/global_settings.py,
django__django-10924,sanitized,True,3715,675,4,1,False,False,False,False,django/db/models/fields/__init__.py,
django__django-11001,sanitized,False,1306,1306,1,1,False,False,False,False,django/db/models/sql/compiler.py,
django__django-11019,sanitized,True,93302,1068,9,1,False,False,False,False,django/forms/widgets.py,
django__django-11039,sanitized,True,1934,556,2,1,False,False,False,False,django/core/management/commands/sqlmigrate.py,
django__django-11049,sanitized,False,703,703,1,1,False,False,False,False,django/db/models/fields/__init__.py,
django__django-11099,sanitized,False,901,901,1,1,False,False,False,False,django/contrib/auth/validators.py,
django__django-11133,sanitized,True,2480,1436,2,1,False,False,False,False,django/http/response.py,
django__django-11179,sanitized,True,614,543,1,1,False,False,False,False,django/db/models/deletion.py,
django__django-11283,sanitized,True,2216,2150,1,1,False,False,False,False,django/contrib/auth/migrations/0011_update_proxy_permissions.py,
django__django-11422,sanitized,True,3641,1462,4,1,False,False,False,False,django/utils/autoreload.py,
django__django-11564,sanitized,True,4361,2778,2,1,False,False,False,False,django/templatetags/static.py,
django__django-11583,sanitized,False,563,563,1,1,False,False,False,False,django/utils/autoreload.py,
django__django-11620,sanitized,True,2091,544,2,1,False,False,False,False,django/urls/resolvers.py,
django__django-11630,sanitized,True,2542,1163,2,1,False,False,False,False,django/core/checks/model_checks.py,
django__django-11742,sanitized,True,8414,6504,2,1,False,False,False,False,django/db/models/fields/__init__.py,
django__django-11797,sanitized,True,71716,0,1,0,False,True,False,False,,
django__django-11815,sanitized,True,62896,749,11,1,False,False,False,False,django/db/migrations/serializer.py,
django__django-11848,sanitized,True,20552,1537,3,1,False,False,False,False,django/utils/http.py,
django__django-11905,sanitized,True,2987,2504,2,1,False,False,False,False,django/db/models/lookups.py,
django__django-11910,skipped_empty,False,0,0,0,0,True,True,False,False,,
django__django-11964,sanitized,True,2417,639,3,1,False,False,False,False,django/db/models/enums.py,
django__django-11999,sanitized,True,1472,722,2,1,False,False,False,False,django/db/models/fields/__init__.py,
django__django-12113,sanitized,False,481,481,1,1,False,False,False,False,tests/test_sqlite.py,suspicious_files=tests/test_sqlite.py
django__django-12125,sanitized,True,3634,2590,4,1,False,False,False,False,django/db/migrations/serializer.py,
django__django-12184,sanitized,True,572,450,1,1,False,False,False,False,django/urls/resolvers.py,
django__django-12284,sanitized,True,2619,605,2,1,False,False,False,False,django/db/models/base.py,
django__django-12286,sanitized,True,1571,716,2,1,False,False,False,False,django/core/checks/translation.py,
django__django-12308,sanitized,True,4394,2459,3,1,False,False,False,False,django/contrib/admin/utils.py,
django__django-12453,sanitized,True,1267,1184,1,1,False,False,False,False,django/db/backends/base/creation.py,
django__django-12470,sanitized,True,223032,0,4,0,False,True,False,False,,
django__django-12497,sanitized,False,1449,1449,1,1,False,False,False,False,django/db/models/fields/related.py,
django__django-12589,sanitized,True,1537,787,2,1,False,False,False,False,django/db/models/sql/compiler.py,
django__django-12700,sanitized,True,1240,0,1,0,False,True,False,False,,
django__django-12708,sanitized,True,234293,19880,8,1,False,False,False,False,django/db/backends/base/schema.py,
django__django-12747,sanitized,True,5949,982,3,1,False,False,False,False,django/db/models/deletion.py,
django__django-12856,sanitized,True,2667,703,5,1,False,False,False,False,django/db/models/base.py,
django__django-12908,sanitized,True,151309,1370,4,1,False,False,False,False,django/db/models/sql/compiler.py,
django__django-12915,sanitized,False,1459,1459,1,1,False,False,False,False,django/contrib/staticfiles/handlers.py,
django__django-12983,sanitized,True,2325,585,2,1,False,False,False,False,django/utils/text.py,
django__django-13028,sanitized,True,4198,1168,2,1,False,False,False,False,django/db/models/sql/query.py,
django__django-13033,sanitized,True,77972,1232,3,1,False,False,False,False,django/db/models/sql/compiler.py,
django__django-13158,sanitized,True,2864,565,2,1,False,False,False,False,django/db/models/sql/query.py,
django__django-13220,sanitized,True,2709,487,2,1,False,False,False,False,django/core/exceptions.py,
