tau,epsilon,selected,missing,pass_count,pass_at_1,fix_pass_rate,regression_pass_rate,hidden_pass_rate,submission_compliance_rate,unsafe_edit_rate,empty_patch_rate,avg_patch_lines,avg_patch_files
0.0,0.0,50,0,18,0.36,0.3673,0.7872,0.3673,0.7,0.1,0.0,12.98,1.26
0.0,0.05,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
0.0,0.1,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
0.0,0.2,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
0.0,0.5,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
0.0,1.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
5.0,0.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
5.0,0.05,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
5.0,0.1,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
5.0,0.2,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
5.0,0.5,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
5.0,1.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
10.0,0.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
10.0,0.05,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
10.0,0.1,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
10.0,0.2,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
10.0,0.5,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
10.0,1.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
20.0,0.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
20.0,0.05,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
20.0,0.1,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
20.0,0.2,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
20.0,0.5,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
20.0,1.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
40.0,0.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
40.0,0.05,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
40.0,0.1,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
40.0,0.2,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
40.0,0.5,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
40.0,1.0,50,0,16,0.32,0.3265,0.8298,0.3265,0.7,0.1,0.0,12.14,1.26
