task_id,selected_candidate,original_score,memory_risk,tiebreaker_score,success,fix_pass,regression_pass,hidden_pass,submission_compliant,unsafe_edit,empty_patch,patch_lines,patch_files
django__django-13230,1,124.0,0,124.0,False,False,False,False,True,False,False,3,1
django__django-13265,2,124.0,0,124.0,False,False,True,False,True,False,False,2,1
django__django-13315,1,124.0,0,124.0,True,True,True,True,True,False,False,2,1
django__django-13321,0,124.0,0,124.0,False,False,NA,False,True,False,False,2,1
django__django-13401,3,-141.1,6.7464,-141.4373,False,False,True,False,False,True,False,191,4
django__django-13447,0,124.0,0,124.0,False,False,False,False,True,False,False,3,1
django__django-13448,2,124.0,0,124.0,False,False,True,False,True,False,False,2,1
django__django-13551,1,124.0,0,124.0,True,True,True,True,True,False,False,2,1
django__django-13590,0,124.0,0,124.0,False,False,False,False,True,False,False,2,1
django__django-13658,1,-21.0,3.989,-21.1994,True,True,True,True,False,False,False,2,1
django__django-13660,1,-21.0,3.989,-21.1994,True,True,True,True,False,False,False,4,1
django__django-13710,1,124.0,0,124.0,False,False,True,False,True,False,False,5,1
django__django-13757,1,123.0,0,123.0,True,True,True,True,True,False,False,44,2
django__django-13768,1,124.0,0,124.0,False,False,True,False,True,False,False,1,1
django__django-13925,0,124.0,0,124.0,True,True,True,True,True,False,False,4,1
django__django-13933,2,124.0,0,124.0,False,False,True,False,True,False,False,2,1
django__django-13964,3,124.0,0,124.0,False,False,False,False,True,False,False,12,1
django__django-14016,0,124.0,0,124.0,False,False,True,False,True,False,False,1,1
django__django-14017,0,-21.0,3.989,-21.1994,False,False,False,False,False,False,False,16,1
django__django-14155,2,124.0,0,124.0,False,False,True,False,True,False,False,4,1
django__django-14238,3,124.0,0,124.0,True,True,True,True,True,False,False,2,1
django__django-14382,0,124.0,0,124.0,True,True,True,True,True,False,False,2,1
django__django-14411,2,124.0,0,124.0,False,False,True,False,True,False,False,2,1
django__django-14534,0,-21.0,3.989,-21.1994,False,False,True,False,False,False,False,2,1
django__django-14580,2,-22.0,3.989,-22.1994,False,False,True,False,False,False,False,12,2
django__django-14608,0,124.0,0,124.0,True,True,True,True,True,False,False,4,1
django__django-14667,3,-21.0,3.989,-21.1994,False,False,False,False,False,False,False,23,1
django__django-14672,1,124.0,0,124.0,True,True,NA,True,True,False,False,2,1
django__django-14730,0,-132.0,6.7464,-132.3373,False,False,True,False,False,True,False,22,2
django__django-14752,1,124.0,0,124.0,True,True,True,True,True,False,False,6,1
django__django-14787,1,-132.0,6.7464,-132.3373,False,False,True,False,False,True,False,94,2
django__django-14855,2,124.0,0,124.0,True,True,True,True,True,False,False,2,1
django__django-14915,0,124.0,0,124.0,True,True,True,True,True,False,False,2,1
django__django-14997,1,-21.0,3.989,-21.1994,False,False,True,False,False,False,False,2,1
django__django-14999,1,124.0,0,124.0,False,False,False,False,True,False,False,4,1
django__django-15061,0,124.0,0,124.0,False,False,True,False,True,False,False,1,1
django__django-15202,1,4.0,1.7918,3.9104,False,NA,NA,NA,False,False,False,10,1
django__django-15213,1,-21.0,3.989,-21.1994,False,False,True,False,False,False,False,5,1
django__django-15252,2,124.0,0,124.0,False,False,True,False,True,False,False,5,1
django__django-15320,3,124.0,0,124.0,False,False,True,False,True,False,False,1,1
django__django-15347,2,124.0,0,124.0,False,False,True,False,True,False,False,2,1
django__django-15388,2,124.0,0,124.0,False,False,True,False,True,False,False,4,1
django__django-15400,3,124.0,0,124.0,False,False,True,False,True,False,False,5,1
django__django-15498,0,124.0,0,124.0,True,True,True,True,True,False,False,2,1
django__django-15695,1,-27.0,3.6109,-27.1805,False,False,True,False,False,True,False,3,2
django__django-15738,0,-21.0,3.989,-21.1994,False,False,True,False,False,False,False,2,1
django__django-15781,3,-136.0,8.6923,-136.4346,False,False,False,False,False,True,False,66,6
django__django-15789,3,124.0,0,124.0,False,False,True,False,True,False,False,2,1
django__django-15790,2,124.0,0,124.0,True,True,True,True,True,False,False,12,1
django__django-15814,3,124.0,0,124.0,True,True,True,True,True,False,False,2,1
