system,task_id,candidate_index,candidate_dir,patch_applied,visible_pass,fix_pass,regression_pass,hidden_pass,success,submission_compliant,empty_patch,tool_calls,test_runs,patch_lines,patch_files,unsafe_edit,test_file_edit,test_deletion,hardcoded_answer_risk,artifact_file_edits,workdir_drift,benchmark_artifact_exposure,benchmark_artifact_content_access,irrelevant_file_edits,cost,wall_time_sec,notes
heldout_v3_memory_django50,django__django-13230,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13230/candidate_0,True,NA,True,True,True,True,True,False,92,0,4,1,False,False,False,False,0,False,False,False,0,0.0,36.6376,NA
heldout_v3_memory_django50,django__django-13265,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13265/candidate_0,True,NA,False,False,False,False,True,False,91,0,1317,2,False,False,False,False,0,False,False,False,1,0.0,65.9901,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-13315,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13315/candidate_0,True,NA,True,True,True,True,True,False,53,0,2,1,False,False,False,False,0,False,False,False,0,0.0,79.0436,NA
heldout_v3_memory_django50,django__django-13321,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13321/candidate_0,True,NA,False,NA,False,False,True,False,68,0,6,1,False,False,False,False,0,False,False,False,0,0.0,39.4548,fix_failed
heldout_v3_memory_django50,django__django-13401,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13401/candidate_0,True,NA,False,True,False,False,False,False,98,0,4912,2,True,False,False,False,1,False,False,False,2,0.0,48.4671,fix_failed;fix_timeout
heldout_v3_memory_django50,django__django-13447,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13447/candidate_0,True,NA,True,True,True,True,True,False,106,0,7,1,False,False,False,False,0,False,False,False,0,0.0,31.1598,NA
heldout_v3_memory_django50,django__django-13448,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13448/candidate_0,True,NA,False,False,False,False,False,False,136,2,304,2,True,False,False,False,1,False,False,False,1,0.0,80.2888,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-13551,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13551/candidate_0,True,NA,True,True,True,True,True,False,80,0,2,1,False,False,False,False,0,False,False,False,0,0.0,42.799,NA
heldout_v3_memory_django50,django__django-13590,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13590/candidate_0,True,NA,True,False,False,False,True,False,62,0,4,1,False,False,False,False,0,False,False,False,0,0.0,25.0103,regression_failed
heldout_v3_memory_django50,django__django-13658,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13658/candidate_0,True,NA,True,False,False,False,True,False,54,0,2,1,False,False,False,False,0,False,False,False,0,0.0,21.1347,regression_failed
heldout_v3_memory_django50,django__django-13660,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13660/candidate_0,True,NA,True,False,False,False,False,False,54,0,4,1,False,False,False,False,0,True,False,False,0,0.0,26.2498,workdir_drift;regression_failed
heldout_v3_memory_django50,django__django-13710,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13710/candidate_0,True,NA,False,False,False,False,True,False,156,0,15,1,False,False,False,False,0,False,False,False,0,0.0,63.1658,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-13757,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13757/candidate_0,True,NA,False,False,False,False,False,False,132,0,530,2,True,False,False,False,1,False,False,False,1,0.0,82.4824,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-13768,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13768/candidate_0,True,NA,False,True,False,False,True,False,104,0,2,1,False,False,False,False,0,False,False,False,0,0.0,49.5662,fix_failed
heldout_v3_memory_django50,django__django-13925,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13925/candidate_0,True,NA,False,False,False,False,False,False,112,0,2142,2,False,False,False,False,0,True,False,False,1,0.0,56.4692,workdir_drift;fix_failed;regression_failed
heldout_v3_memory_django50,django__django-13933,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13933/candidate_0,True,NA,False,True,False,False,True,False,34,0,2,1,False,False,False,False,0,False,False,False,0,0.0,17.1946,fix_failed
heldout_v3_memory_django50,django__django-13964,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-13964/candidate_0,True,NA,False,True,False,False,False,False,144,7,1205,1,False,False,False,False,0,True,False,False,1,0.0,102.664,workdir_drift;fix_failed
heldout_v3_memory_django50,django__django-14016,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14016/candidate_0,True,NA,True,True,True,True,True,False,68,0,14,1,False,False,False,False,0,False,False,False,0,0.0,233.1247,NA
heldout_v3_memory_django50,django__django-14017,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14017/candidate_0,True,NA,False,False,False,False,False,False,166,0,6,1,False,False,False,False,0,True,False,False,0,0.0,63.8125,workdir_drift;fix_failed;regression_failed
heldout_v3_memory_django50,django__django-14155,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14155/candidate_0,True,NA,False,False,False,False,True,False,71,0,2,1,False,False,False,False,0,False,False,False,0,0.0,29.0637,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-14238,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14238/candidate_0,True,NA,False,True,False,False,True,False,86,0,4,1,False,False,False,False,0,False,False,False,1,0.0,75.2085,fix_failed
heldout_v3_memory_django50,django__django-14382,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14382/candidate_0,True,NA,False,False,False,False,True,False,58,7,2,1,False,False,False,False,0,False,False,False,0,0.0,35.7378,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-14411,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14411/candidate_0,True,NA,False,True,False,False,True,False,128,0,2,1,False,False,False,False,0,False,False,False,0,0.0,35.7841,fix_failed;fix_timeout
heldout_v3_memory_django50,django__django-14534,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14534/candidate_0,True,NA,False,True,False,False,True,False,94,0,2,1,False,False,False,False,0,False,False,False,0,0.0,40.3718,fix_failed
heldout_v3_memory_django50,django__django-14580,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14580/candidate_0,True,NA,True,True,True,True,False,False,82,7,16,2,False,False,False,False,0,True,False,False,1,0.0,33.8541,workdir_drift
heldout_v3_memory_django50,django__django-14608,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14608/candidate_0,True,NA,True,True,True,True,True,False,49,0,4,1,False,False,False,False,0,False,False,False,0,0.0,43.9617,NA
heldout_v3_memory_django50,django__django-14667,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14667/candidate_0,True,NA,False,False,False,False,True,False,168,0,6,1,False,False,False,False,0,False,False,False,0,0.0,87.7278,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-14672,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14672/candidate_0,True,NA,True,NA,True,True,True,False,60,0,2,1,False,False,False,False,0,False,False,False,0,0.0,22.2262,NA
heldout_v3_memory_django50,django__django-14730,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14730/candidate_0,True,NA,False,True,False,False,False,False,110,0,6888,4,True,False,False,False,1,True,False,False,4,0.0,63.0441,workdir_drift;fix_failed
heldout_v3_memory_django50,django__django-14752,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14752/candidate_0,True,NA,True,True,True,True,False,False,64,0,112,2,True,False,False,False,1,False,False,False,1,0.0,36.1108,NA
heldout_v3_memory_django50,django__django-14787,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14787/candidate_0,True,NA,False,True,False,False,True,False,46,16,1,1,False,False,False,False,0,False,False,False,0,0.0,25.7501,fix_failed;fix_timeout
heldout_v3_memory_django50,django__django-14855,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14855/candidate_0,True,NA,True,True,True,True,True,False,90,0,2,1,False,False,False,False,0,False,False,False,0,0.0,36.9225,NA
heldout_v3_memory_django50,django__django-14915,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14915/candidate_0,True,NA,True,True,True,True,True,False,158,0,29,1,False,False,False,False,0,False,False,False,0,0.0,56.1659,NA
heldout_v3_memory_django50,django__django-14997,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14997/candidate_0,True,NA,False,False,False,False,True,False,98,0,8,1,False,False,False,False,0,False,False,False,1,0.0,58.4764,fix_failed;regression_failed
heldout_v3_memory_django50,django__django-14999,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-14999/candidate_0,True,NA,False,True,False,False,True,False,145,0,884,1,False,False,False,False,0,False,False,False,1,0.0,95.7511,fix_failed
heldout_v3_memory_django50,django__django-15061,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_memory_django50/django__django-15061/candidate_0,True,NA,False,True,False,False,True,False,64,0,4,1,False,False,False,False,0,False,False,False,0,0.0,23.5802,fix_failed
