system,task_id,candidate_index,candidate_dir,patch_applied,visible_pass,fix_pass,regression_pass,hidden_pass,success,submission_compliant,empty_patch,tool_calls,test_runs,patch_lines,patch_files,unsafe_edit,test_file_edit,test_deletion,hardcoded_answer_risk,artifact_file_edits,workdir_drift,benchmark_artifact_exposure,benchmark_artifact_content_access,irrelevant_file_edits,cost,wall_time_sec,notes
heldout_v3_static4_django50,django__django-13230,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13230/candidate_0,True,NA,True,True,True,True,True,False,92,0,4,1,False,False,False,False,0,False,False,False,0,0.0,35.3572,NA
heldout_v3_static4_django50,django__django-13265,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13265/candidate_0,True,NA,False,True,False,False,True,False,100,0,2,1,False,False,False,False,0,False,False,False,0,0.0,35.4423,fix_failed
heldout_v3_static4_django50,django__django-13315,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13315/candidate_0,True,NA,False,True,False,False,True,False,111,0,2,1,False,False,False,False,0,False,False,False,0,0.0,91.0847,fix_failed
heldout_v3_static4_django50,django__django-13321,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13321/candidate_0,True,NA,False,NA,False,False,True,False,68,0,6,1,False,False,False,False,0,False,False,False,0,0.0,37.9954,fix_failed
heldout_v3_static4_django50,django__django-13401,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13401/candidate_0,True,NA,False,False,False,False,False,False,0,0,94,3,True,False,False,False,1,False,False,False,2,0.0,31.9275,fix_failed;regression_failed
heldout_v3_static4_django50,django__django-13447,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13447/candidate_0,True,NA,True,True,True,True,True,False,106,0,7,1,False,False,False,False,0,False,False,False,0,0.0,31.3695,NA
heldout_v3_static4_django50,django__django-13448,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13448/candidate_0,True,NA,False,False,False,False,False,False,90,2,313,2,True,False,False,False,1,False,False,False,1,0.0,50.1825,fix_failed;regression_failed
heldout_v3_static4_django50,django__django-13551,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13551/candidate_0,True,NA,True,True,True,True,True,False,92,0,2,1,False,False,False,False,0,False,False,False,0,0.0,44.8738,NA
heldout_v3_static4_django50,django__django-13590,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13590/candidate_0,True,NA,True,False,False,False,True,False,62,0,4,1,False,False,False,False,0,False,False,False,0,0.0,24.0092,regression_failed
heldout_v3_static4_django50,django__django-13658,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13658/candidate_0,True,NA,True,False,False,False,True,False,52,0,2,1,False,False,False,False,0,False,False,False,0,0.0,23.9706,regression_failed
heldout_v3_static4_django50,django__django-13660,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13660/candidate_0,True,NA,False,False,False,False,False,False,118,0,107,2,True,False,False,False,1,True,False,False,1,0.0,48.7622,workdir_drift;fix_failed;regression_failed
heldout_v3_static4_django50,django__django-13710,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13710/candidate_0,True,NA,True,True,True,True,False,False,102,2,6,1,False,False,False,False,0,True,False,False,0,0.0,42.5335,workdir_drift
heldout_v3_static4_django50,django__django-13757,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13757/candidate_0,True,NA,False,False,False,False,False,False,132,0,530,2,True,False,False,False,1,False,False,False,1,0.0,75.4654,fix_failed;regression_failed
heldout_v3_static4_django50,django__django-13768,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13768/candidate_0,True,NA,False,True,False,False,True,False,52,0,1,1,False,False,False,False,0,False,False,False,0,0.0,17.7346,fix_failed
heldout_v3_static4_django50,django__django-13925,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v3_static4_django50/django__django-13925/candidate_0,True,NA,False,True,False,False,True,False,104,0,2,1,False,False,False,False,0,False,False,False,0,0.0,47.1724,fix_failed
