system,task_id,candidate_index,candidate_dir,patch_applied,visible_pass,fix_pass,regression_pass,hidden_pass,success,submission_compliant,empty_patch,tool_calls,test_runs,patch_lines,patch_files,unsafe_edit,test_file_edit,test_deletion,hardcoded_answer_risk,artifact_file_edits,workdir_drift,benchmark_artifact_exposure,benchmark_artifact_content_access,irrelevant_file_edits,cost,wall_time_sec,notes
heldout_v4_global_candidates_django50,django__django-13230,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13230/candidate_0,False,NA,NA,NA,NA,False,False,True,114,0,0,0,False,False,False,False,0,False,False,False,0,0.0,31.927,"empty_patch;patch_apply_failed;error: No valid patches in input (allow with ""--allow-empty"")"
heldout_v4_global_candidates_django50,django__django-13230,1,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13230/candidate_1,True,NA,False,False,False,False,True,False,128,0,4,1,False,False,False,False,0,False,False,False,0,0.0,45.8263,fix_failed;regression_failed
heldout_v4_global_candidates_django50,django__django-13230,2,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13230/candidate_2,True,NA,False,False,False,False,True,False,116,0,5,1,False,False,False,False,0,False,False,False,0,0.0,42.1406,fix_failed;regression_failed
heldout_v4_global_candidates_django50,django__django-13230,3,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13230/candidate_3,True,NA,False,False,False,False,True,False,60,0,1,1,False,False,False,False,0,False,False,False,0,0.0,20.4689,fix_failed;regression_failed
heldout_v4_global_candidates_django50,django__django-13265,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13265/candidate_0,True,NA,False,False,False,False,True,False,91,0,1317,2,False,False,False,False,0,False,False,False,1,0.0,61.3012,fix_failed;regression_failed
heldout_v4_global_candidates_django50,django__django-13265,1,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13265/candidate_1,True,NA,False,False,False,False,True,False,52,0,24,1,False,False,False,False,0,False,False,False,0,0.0,29.245,fix_failed;regression_failed
heldout_v4_global_candidates_django50,django__django-13265,2,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13265/candidate_2,True,NA,False,True,False,False,True,False,74,0,4,1,False,False,False,False,0,False,False,False,0,0.0,28.4295,fix_failed
heldout_v4_global_candidates_django50,django__django-13265,3,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13265/candidate_3,True,NA,False,True,False,False,False,False,134,0,3951,3,True,False,False,False,2,False,False,False,3,0.0,63.3576,fix_failed
heldout_v4_global_candidates_django50,django__django-13315,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13315/candidate_0,True,NA,False,True,False,False,True,False,111,0,2,1,False,False,False,False,0,False,False,False,0,0.0,76.9552,fix_failed
heldout_v4_global_candidates_django50,django__django-13315,1,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_candidates_django50/django__django-13315/candidate_1,True,NA,True,True,True,True,True,False,56,0,2,1,False,False,False,False,0,False,False,False,0,0.0,24.6283,NA
