system,task_id,candidate_index,candidate_dir,patch_applied,visible_pass,fix_pass,regression_pass,hidden_pass,success,submission_compliant,empty_patch,tool_calls,test_runs,patch_lines,patch_files,unsafe_edit,test_file_edit,test_deletion,hardcoded_answer_risk,artifact_file_edits,workdir_drift,benchmark_artifact_exposure,benchmark_artifact_content_access,irrelevant_file_edits,cost,wall_time_sec,notes
heldout_v4_global_nomemory_django50,django__django-13230,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13230/candidate_0,True,NA,True,True,True,True,True,False,68,0,4,1,False,False,False,False,0,False,False,False,0,0.0,36.0487,NA
heldout_v4_global_nomemory_django50,django__django-13265,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13265/candidate_0,True,NA,False,False,False,False,True,False,108,0,26,1,False,False,False,False,0,False,False,False,0,0.0,55.9569,fix_failed;regression_failed
heldout_v4_global_nomemory_django50,django__django-13315,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13315/candidate_0,True,NA,True,True,True,True,True,False,65,9,2,1,False,False,False,False,0,False,False,False,0,0.0,61.8259,NA
heldout_v4_global_nomemory_django50,django__django-13321,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13321/candidate_0,True,NA,False,NA,False,False,True,False,70,0,2,1,False,False,False,False,0,False,False,False,0,0.0,36.5635,fix_failed
heldout_v4_global_nomemory_django50,django__django-13401,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13401/candidate_0,True,NA,False,True,False,False,False,False,120,12,191,4,True,True,False,False,2,False,False,False,4,0.0,68.8692,fix_failed;fix_timeout
heldout_v4_global_nomemory_django50,django__django-13447,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13447/candidate_0,True,NA,False,False,False,False,True,False,66,3,3,1,False,False,False,False,0,False,False,False,0,0.0,24.7361,fix_failed;regression_failed
heldout_v4_global_nomemory_django50,django__django-13448,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13448/candidate_0,True,NA,False,False,False,False,True,False,146,4,8,1,False,False,False,False,0,False,False,False,0,0.0,75.8345,fix_failed;regression_failed
heldout_v4_global_nomemory_django50,django__django-13551,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13551/candidate_0,True,NA,True,True,True,True,True,False,110,3,2,1,False,False,False,False,0,False,False,False,0,0.0,47.4348,NA
heldout_v4_global_nomemory_django50,django__django-13590,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13590/candidate_0,True,NA,False,False,False,False,True,False,76,0,2,1,False,False,False,False,0,False,False,False,0,0.0,31.1999,fix_failed;regression_failed
heldout_v4_global_nomemory_django50,django__django-13658,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13658/candidate_0,True,NA,True,True,True,True,False,False,48,0,2,1,False,False,False,False,0,True,False,False,0,0.0,21.4039,workdir_drift
heldout_v4_global_nomemory_django50,django__django-13660,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13660/candidate_0,True,NA,True,True,True,True,False,False,98,0,4,1,False,False,False,False,0,True,False,False,0,0.0,43.7795,workdir_drift
heldout_v4_global_nomemory_django50,django__django-13710,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_django50/django__django-13710/candidate_0,True,NA,False,True,False,False,True,False,130,0,5,1,False,False,False,False,0,False,False,False,0,0.0,43.5118,fix_failed
