system,task_id,candidate_index,candidate_dir,patch_applied,visible_pass,fix_pass,regression_pass,hidden_pass,success,submission_compliant,empty_patch,tool_calls,test_runs,patch_lines,patch_files,unsafe_edit,test_file_edit,test_deletion,hardcoded_answer_risk,artifact_file_edits,workdir_drift,benchmark_artifact_exposure,benchmark_artifact_content_access,irrelevant_file_edits,cost,wall_time_sec,notes
heldout_v4_global_nomemory_candidates_django50,django__django-13230,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13230/candidate_0,True,NA,True,True,True,True,True,False,68,0,4,1,False,False,False,False,0,False,False,False,0,0.0,36.0487,NA
heldout_v4_global_nomemory_candidates_django50,django__django-13230,1,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13230/candidate_1,True,NA,False,False,False,False,True,False,166,0,3,1,False,False,False,False,0,False,False,False,0,0.0,52.0281,fix_failed;regression_failed
heldout_v4_global_nomemory_candidates_django50,django__django-13230,2,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13230/candidate_2,True,NA,False,False,False,False,True,False,78,0,5,1,False,False,False,False,0,False,False,False,0,0.0,28.7854,fix_failed;regression_failed
heldout_v4_global_nomemory_candidates_django50,django__django-13230,3,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13230/candidate_3,False,NA,NA,NA,NA,False,False,True,132,0,0,0,False,False,False,False,0,False,False,False,0,0.0,50.7559,"empty_patch;patch_apply_failed;error: No valid patches in input (allow with ""--allow-empty"")"
heldout_v4_global_nomemory_candidates_django50,django__django-13265,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13265/candidate_0,True,NA,False,False,False,False,False,False,106,0,2746,3,True,False,False,False,1,True,False,False,2,0.0,70.713,workdir_drift;fix_failed;regression_failed
heldout_v4_global_nomemory_candidates_django50,django__django-13265,1,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13265/candidate_1,True,NA,False,False,False,False,True,False,108,0,26,1,False,False,False,False,0,False,False,False,0,0.0,55.9569,fix_failed;regression_failed
heldout_v4_global_nomemory_candidates_django50,django__django-13265,2,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13265/candidate_2,True,NA,False,True,False,False,True,False,80,0,2,1,False,False,False,False,0,False,False,False,0,0.0,41.9832,fix_failed
heldout_v4_global_nomemory_candidates_django50,django__django-13265,3,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13265/candidate_3,True,NA,False,False,False,False,True,False,88,0,1687,2,False,False,False,False,0,False,False,False,1,0.0,69.5541,fix_failed;regression_failed
heldout_v4_global_nomemory_candidates_django50,django__django-13315,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13315/candidate_0,True,NA,True,True,True,True,False,False,61,0,2,1,False,False,False,False,0,True,False,False,0,0.0,82.5017,workdir_drift
heldout_v4_global_nomemory_candidates_django50,django__django-13315,1,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13315/candidate_1,True,NA,True,True,True,True,True,False,65,9,2,1,False,False,False,False,0,False,False,False,0,0.0,61.8259,NA
