system,task_id,candidate_index,candidate_dir,patch_applied,visible_pass,fix_pass,regression_pass,hidden_pass,success,submission_compliant,empty_patch,tool_calls,test_runs,patch_lines,patch_files,unsafe_edit,test_file_edit,test_deletion,hardcoded_answer_risk,artifact_file_edits,workdir_drift,benchmark_artifact_exposure,benchmark_artifact_content_access,irrelevant_file_edits,cost,wall_time_sec,notes
v5_blended_selector,django__django-13230,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13230/candidate_0,True,NA,True,True,True,True,True,False,68,0,4,1,False,False,False,False,0,False,False,False,0,0.0,36.0487,NA
v5_blended_selector,django__django-13265,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13265/candidate_2,True,NA,False,True,False,False,True,False,80,0,2,1,False,False,False,False,0,False,False,False,0,0.0,41.9832,fix_failed
v5_blended_selector,django__django-13315,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13315/candidate_1,True,NA,True,True,True,True,True,False,65,9,2,1,False,False,False,False,0,False,False,False,0,0.0,61.8259,NA
v5_blended_selector,django__django-13321,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13321/candidate_3,True,NA,False,NA,False,False,True,False,72,0,6,1,False,False,False,False,0,False,False,False,0,0.0,33.1019,fix_failed
v5_blended_selector,django__django-13401,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13401/candidate_1,True,NA,False,True,False,False,False,False,116,0,193,4,True,True,True,False,0,False,False,False,3,0.0,66.1799,fix_failed;fix_timeout
v5_blended_selector,django__django-13447,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13447/candidate_1,True,NA,False,False,False,False,True,False,118,0,3,1,False,False,False,False,0,False,False,False,0,0.0,41.5478,fix_failed;regression_failed
v5_blended_selector,django__django-13448,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13448/candidate_1,True,NA,False,False,False,False,True,False,146,4,8,1,False,False,False,False,0,False,False,False,0,0.0,75.8345,fix_failed;regression_failed
v5_blended_selector,django__django-13551,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13551/candidate_2,True,NA,True,True,True,True,True,False,74,9,3,1,False,False,False,False,0,False,False,False,0,0.0,35.2004,NA
v5_blended_selector,django__django-13590,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13590/candidate_0,True,NA,False,False,False,False,True,False,76,0,2,1,False,False,False,False,0,False,False,False,0,0.0,31.1999,fix_failed;regression_failed
v5_blended_selector,django__django-13658,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13658/candidate_1,True,NA,True,True,True,True,False,False,48,0,2,1,False,False,False,False,0,True,False,False,0,0.0,21.4039,workdir_drift
v5_blended_selector,django__django-13660,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13660/candidate_1,True,NA,True,True,True,True,False,False,98,0,4,1,False,False,False,False,0,True,False,False,0,0.0,43.7795,workdir_drift
v5_blended_selector,django__django-13710,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13710/candidate_2,True,NA,True,True,True,True,True,False,72,0,8,1,False,False,False,False,0,False,False,False,0,0.0,36.5752,NA
v5_blended_selector,django__django-13757,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13757/candidate_1,True,NA,True,True,True,True,True,False,176,2,44,2,False,False,False,False,0,False,False,False,1,0.0,74.6144,NA
v5_blended_selector,django__django-13768,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13768/candidate_1,True,NA,False,True,False,False,True,False,52,0,1,1,False,False,False,False,0,False,False,False,0,0.0,19.9383,fix_failed
v5_blended_selector,django__django-13925,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13925/candidate_0,True,NA,True,True,True,True,True,False,82,0,4,1,False,False,False,False,0,False,False,False,0,0.0,44.6923,NA
v5_blended_selector,django__django-13933,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13933/candidate_2,True,NA,False,True,False,False,True,False,130,0,2,1,False,False,False,False,0,False,False,False,0,0.0,42.1623,fix_failed
v5_blended_selector,django__django-13964,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-13964/candidate_2,True,NA,False,False,False,False,True,False,98,0,97,2,False,False,False,False,0,False,False,False,2,0.0,64.6748,fix_failed;regression_failed
v5_blended_selector,django__django-14016,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-14016/candidate_1,True,NA,True,True,True,True,False,False,60,38,17,1,False,False,False,False,0,True,False,False,0,0.0,50.5925,workdir_drift
v5_blended_selector,django__django-14017,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-14017/candidate_0,True,NA,False,False,False,False,False,False,154,2,16,1,False,False,False,False,0,True,False,False,1,0.0,105.376,workdir_drift;fix_failed;regression_failed
v5_blended_selector,django__django-14155,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-14155/candidate_2,True,NA,False,True,False,False,True,False,150,0,4,1,False,False,False,False,0,False,False,False,0,0.0,69.3561,fix_failed
v5_blended_selector,django__django-14238,0,/inspire/hdd/project/machine-behavior/czxs25150055/codefixer-baseline/outputs/local_runs/heldout_v4_global_nomemory_candidates_django50/django__django-14238/candidate_1,True,NA,True,True,True,True,False,False,76,4,2,1,False,False,False,False,0,True,False,False,0,0.0,34.8972,workdir_drift
