strategy,task_id,selected_candidate,original_score,test_aware_score,semantic_score,pairwise_score,blended_score,success,fix_pass,regression_pass,hidden_pass,submission_compliant,unsafe_edit,empty_patch,patch_lines,patch_files
anchor,django__django-13230,0,124.0,4.8,1.88,2.75,2.6215,True,True,True,True,True,False,False,4,1
anchor,django__django-13265,1,124.0,4.8,2.78,1.8,2.464,False,False,False,False,True,False,False,26,1
anchor,django__django-13315,1,124.0,4.8,2.53,2.0,2.479,True,True,True,True,True,False,False,2,1
anchor,django__django-13321,0,124.0,4.8,0.48,0.9,1.369,False,False,NA,False,True,False,False,2,1
anchor,django__django-13401,3,-141.1,-4.3,-0.43,0.9,-0.369,False,False,True,False,False,True,False,191,4
anchor,django__django-13447,0,124.0,4.8,-0.02,2.75,2.0515,False,False,False,False,True,False,False,3,1
anchor,django__django-13448,1,124.0,4.8,3.38,1.85,2.6665,False,False,False,False,True,False,False,8,1
anchor,django__django-13551,1,124.0,4.8,-0.42,0.9,1.099,True,True,True,True,True,False,False,2,1
anchor,django__django-13590,0,124.0,4.8,0.48,2.7,2.179,False,False,False,False,True,False,False,2,1
anchor,django__django-13658,1,-21.0,0.8,2.38,1.9,1.689,True,True,True,True,False,False,False,2,1
anchor,django__django-13660,1,-21.0,0.8,2.38,2.75,2.0715,True,True,True,True,False,False,False,4,1
anchor,django__django-13710,1,124.0,4.8,1.28,1.8,2.014,False,False,True,False,True,False,False,5,1
anchor,django__django-13757,1,123.0,4.8,3.03,1.8,2.539,True,True,True,True,True,False,False,44,2
anchor,django__django-13768,1,124.0,4.8,2.53,2.7,2.794,False,False,True,False,True,False,False,1,1
anchor,django__django-13925,0,124.0,4.8,2.53,2.7,2.794,True,True,True,True,True,False,False,4,1
anchor,django__django-13933,2,124.0,4.8,2.53,2.9,2.884,False,False,True,False,True,False,False,2,1
anchor,django__django-13964,3,124.0,4.8,2.53,0.9,1.984,False,False,False,False,True,False,False,12,1
anchor,django__django-14016,0,124.0,4.8,0.48,0.9,1.369,False,False,True,False,True,False,False,1,1
anchor,django__django-14017,0,-21.0,0.8,0.08,1.8,0.954,False,False,False,False,False,False,False,16,1
anchor,django__django-14155,2,124.0,4.8,2.53,0.9,1.984,False,False,True,False,True,False,False,4,1
anchor,django__django-14238,3,124.0,4.8,0.48,0.0,0.964,True,True,True,True,True,False,False,2,1
anchor,django__django-14382,0,124.0,4.8,2.53,3.0,2.929,True,True,True,True,True,False,False,2,1
anchor,django__django-14411,2,124.0,4.8,0.48,1.85,1.7965,False,False,True,False,True,False,False,2,1
anchor,django__django-14534,0,-21.0,0.8,0.08,2.85,1.4265,False,False,True,False,False,False,False,2,1
anchor,django__django-14580,2,-22.0,0.8,0.48,1.8,1.074,False,False,True,False,False,False,False,12,2
anchor,django__django-14608,0,124.0,4.8,2.78,2.8499999999999996,2.9365,True,True,True,True,True,False,False,4,1
anchor,django__django-14667,3,-21.0,0.8,1.13,2.8,1.719,False,False,False,False,False,False,False,23,1
anchor,django__django-14672,1,124.0,4.8,2.53,2.9,2.884,True,True,NA,True,True,False,False,2,1
anchor,django__django-14730,0,-132.0,-2.3,1.82,0.9,0.606,False,False,True,False,False,True,False,22,2
anchor,django__django-14752,1,124.0,4.8,2.78,2.75,2.8915,True,True,True,True,True,False,False,6,1
anchor,django__django-14787,1,-132.0,-2.3,0.57,0.0,-0.174,False,False,True,False,False,True,False,94,2
anchor,django__django-14855,2,124.0,4.8,2.53,0.95,2.0065,True,True,True,True,True,False,False,2,1
anchor,django__django-14915,0,124.0,4.8,2.53,2.8,2.839,True,True,True,True,True,False,False,2,1
anchor,django__django-14997,1,-21.0,0.8,2.13,2.75,1.9965,False,False,True,False,False,False,False,2,1
anchor,django__django-14999,1,124.0,4.8,1.53,2.75,2.5165,False,False,False,False,True,False,False,4,1
anchor,django__django-15061,0,124.0,4.8,0.48,0.0,0.964,False,False,True,False,True,False,False,1,1
anchor,django__django-15202,1,4.0,0.8,0.08,2.6,1.414,False,NA,NA,NA,False,False,False,10,1
anchor,django__django-15213,1,-21.0,0.8,2.13,2.8,2.019,False,False,True,False,False,False,False,5,1
anchor,django__django-15252,0,124.0,4.8,3.43,1.8,2.659,False,False,False,False,True,False,False,14,1
anchor,django__django-15320,3,124.0,4.8,1.88,1.9,2.239,False,False,True,False,True,False,False,1,1
anchor,django__django-15347,2,124.0,4.8,2.53,0.95,2.0065,False,False,True,False,True,False,False,2,1
anchor,django__django-15388,2,124.0,4.8,2.53,1.8,2.389,False,False,True,False,True,False,False,4,1
anchor,django__django-15400,3,124.0,4.8,1.88,1.9,2.239,False,False,True,False,True,False,False,5,1
anchor,django__django-15498,0,124.0,4.8,2.78,2.7,2.869,True,True,True,True,True,False,False,2,1
anchor,django__django-15695,1,-27.0,1.3,0.13,1.8,1.044,False,False,True,False,False,True,False,3,2
anchor,django__django-15738,0,-21.0,0.8,2.13,2.7,1.974,False,False,True,False,False,False,False,2,1
anchor,django__django-15781,3,-136.0,-3.3,1.52,2.8499999999999996,1.2435,False,False,False,False,False,True,False,66,6
anchor,django__django-15789,0,124.0,4.8,2.78,2.8,2.914,True,True,True,True,True,False,False,4,1
anchor,django__django-15790,2,124.0,4.8,3.48,0.9,2.269,True,True,True,True,True,False,False,12,1
anchor,django__django-15814,3,124.0,4.8,2.78,0.95,2.0815,True,True,True,True,True,False,False,2,1
