strategy,task_id,selected_candidate,original_score,test_aware_score,semantic_score,pairwise_score,blended_score,success,fix_pass,regression_pass,hidden_pass,submission_compliant,unsafe_edit,empty_patch,patch_lines,patch_files
pairwise,django__django-13230,0,124.0,4.8,1.88,2.75,2.6215,True,True,True,True,True,False,False,4,1
pairwise,django__django-13265,2,124.0,4.8,2.78,2.7,2.869,False,False,True,False,True,False,False,2,1
pairwise,django__django-13315,0,-21.0,0.8,2.13,3.0,2.109,True,True,True,True,False,False,False,2,1
pairwise,django__django-13321,3,124.0,4.8,3.43,2.75,3.0865,False,False,NA,False,True,False,False,6,1
pairwise,django__django-13401,2,-151.3,-4.3,1.72,2.8499999999999996,1.1535,False,False,False,False,False,True,False,283,5
pairwise,django__django-13447,0,124.0,4.8,-0.02,2.75,2.0515,False,False,False,False,True,False,False,3,1
pairwise,django__django-13448,0,-133.0,-3.3,1.97,2.7,1.311,False,False,True,False,False,True,False,90,3
pairwise,django__django-13551,2,124.0,4.8,2.78,2.8499999999999996,2.9365,True,True,True,True,True,False,False,3,1
pairwise,django__django-13590,0,124.0,4.8,0.48,2.7,2.179,False,False,False,False,True,False,False,2,1
pairwise,django__django-13658,0,-106.6,-1.7,2.13,2.7,1.599,True,True,True,True,False,True,False,416,2
pairwise,django__django-13660,1,-21.0,0.8,2.38,2.75,2.0715,True,True,True,True,False,False,False,4,1
pairwise,django__django-13710,2,124.0,4.8,2.53,2.75,2.8165,True,True,True,True,True,False,False,8,1
pairwise,django__django-13757,0,-132.0,-2.3,1.62,2.8,1.401,False,False,True,False,False,True,False,18,2
pairwise,django__django-13768,1,124.0,4.8,2.53,2.7,2.794,False,False,True,False,True,False,False,1,1
pairwise,django__django-13925,0,124.0,4.8,2.53,2.7,2.794,True,True,True,True,True,False,False,4,1
pairwise,django__django-13933,2,124.0,4.8,2.53,2.9,2.884,False,False,True,False,True,False,False,2,1
pairwise,django__django-13964,2,123.0,4.8,3.63,2.8,3.169,False,False,False,False,True,False,False,97,2
pairwise,django__django-14016,1,-21.0,0.8,2.13,2.75,1.9965,True,True,True,True,False,False,False,17,1
pairwise,django__django-14017,1,-74.0,-1.2,0.78,1.85,0.8865,False,False,False,False,False,False,False,1020,4
pairwise,django__django-14155,0,-78.0,-0.7,2.88,2.7,1.974,False,False,True,False,False,True,False,1390,3
pairwise,django__django-14238,0,-133.0,-3.3,1.07,2.75,1.0635,True,True,True,True,False,True,False,23,3
pairwise,django__django-14382,0,124.0,4.8,2.53,3.0,2.929,True,True,True,True,True,False,False,2,1
pairwise,django__django-14411,3,124.0,4.8,2.53,2.75,2.8165,False,False,True,False,True,False,False,4,1
pairwise,django__django-14534,0,-21.0,0.8,0.08,2.85,1.4265,False,False,True,False,False,False,False,2,1
pairwise,django__django-14580,1,-48.3,-1.2,0.78,2.7,1.269,True,True,True,True,False,False,False,373,3
pairwise,django__django-14608,0,124.0,4.8,2.78,2.8499999999999996,2.9365,True,True,True,True,True,False,False,4,1
pairwise,django__django-14667,3,-21.0,0.8,1.13,2.8,1.719,False,False,False,False,False,False,False,23,1
pairwise,django__django-14672,1,124.0,4.8,2.53,2.9,2.884,True,True,NA,True,True,False,False,2,1
pairwise,django__django-14730,3,-182.0,-4.3,2.57,1.9,0.981,False,False,True,False,False,True,False,79,2
pairwise,django__django-14752,1,124.0,4.8,2.78,2.75,2.8915,True,True,True,True,True,False,False,6,1
pairwise,django__django-14787,3,-182.0,-4.3,2.47,2.75,1.3335,False,False,True,False,False,True,False,36,2
pairwise,django__django-14855,0,-21.0,0.8,2.13,2.8499999999999996,2.0415,True,True,True,True,False,False,False,2,1
pairwise,django__django-14915,0,124.0,4.8,2.53,2.8,2.839,True,True,True,True,True,False,False,2,1
pairwise,django__django-14997,1,-21.0,0.8,2.13,2.75,1.9965,False,False,True,False,False,False,False,2,1
pairwise,django__django-14999,1,124.0,4.8,1.53,2.75,2.5165,False,False,False,False,True,False,False,4,1
pairwise,django__django-15061,2,124.0,4.8,2.53,1.9,2.434,False,False,True,False,True,False,False,4,1
pairwise,django__django-15202,1,4.0,0.8,0.08,2.6,1.414,False,NA,NA,NA,False,False,False,10,1
pairwise,django__django-15213,1,-21.0,0.8,2.13,2.8,2.019,False,False,True,False,False,False,False,5,1
pairwise,django__django-15252,1,124.0,4.8,3.43,2.7,3.064,False,False,True,False,True,False,False,19,1
pairwise,django__django-15320,1,123.0,4.8,3.28,2.8,3.064,False,False,True,False,True,False,False,80,2
pairwise,django__django-15347,0,-46.0,-0.2,2.03,2.8499999999999996,1.8615,False,False,True,False,False,False,False,2,1
pairwise,django__django-15388,0,-21.0,0.8,2.13,2.8,2.019,False,False,True,False,False,False,False,4,1
pairwise,django__django-15400,2,-21.0,0.8,1.48,2.75,1.8015,False,False,True,False,False,False,False,5,1
pairwise,django__django-15498,0,124.0,4.8,2.78,2.7,2.869,True,True,True,True,True,False,False,2,1
pairwise,django__django-15695,2,-77.0,-0.7,1.98,2.7,1.704,False,False,False,False,False,True,False,6,2
pairwise,django__django-15738,0,-21.0,0.8,2.13,2.7,1.974,False,False,True,False,False,False,False,2,1
pairwise,django__django-15781,3,-136.0,-3.3,1.52,2.8499999999999996,1.2435,False,False,False,False,False,True,False,66,6
pairwise,django__django-15789,0,124.0,4.8,2.78,2.8,2.914,True,True,True,True,True,False,False,4,1
pairwise,django__django-15790,3,-133.0,-3.3,2.62,2.75,1.5285,False,False,True,False,False,True,False,7,3
pairwise,django__django-15814,0,-134.0,-3.3,2.82,2.75,1.5885,True,True,True,True,False,True,False,60,4
